LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,admin.person.label.fullname,Name,Name,,"'admin.person.label.fullname':'Name',",Name,Name
en,admin.person.label.general,General,General,,"'admin.person.label.general':'General',",General,General
en,admin.person.label.language,Language,Language,,"'admin.person.label.language':'Language',",Language,Language
en,admin.person.label.last_name,Last Name,Last Name,,"'admin.person.label.last_name':'Last Name',",Last Name,Last Name
en,admin.person.label.location,Location(s),Location(s),,"'admin.person.label.location':'Location(s)',",Location(s),Location(s)
en,admin.person.label.middle_initial,M,M,,"'admin.person.label.middle_initial':'M',",M,M
en,admin.person.label.password,Password,Password,,"'admin.person.label.password':'Password',",Password,Password
en,admin.person.label.phone_number_region,Phone Number Region,Phone Number Region,,"'admin.person.label.phone_number_region':'Phone Number Region',",Phone Number Region,Phone Number Region
en,admin.person.label.phone_number.one,Phone Number,Phone Number,,"'admin.person.label.phone_number.one':'Phone Number',",Phone Number,Phone Number
en,admin.person.label.phone_number.other,Phone Numbers,Phone Numbers,,"'admin.person.label.phone_number.other':'Phone Numbers',",Phone Numbers,Phone Numbers
en,admin.person.label.photo,Photo,Photo,,"'admin.person.label.photo':'Photo',",Photo,Photo
en,admin.person.label.role-name,Role,Role,,"'admin.person.label.role-name':'Role',",Role,Role
en,admin.person.label.settings,Settings,Settings,,"'admin.person.label.settings':'Settings',",Settings,Settings
en,admin.person.label.status,Status,Status,,"'admin.person.label.status':'Status',",Status,Status
en,admin.person.label.title,Title,Title,,"'admin.person.label.title':'Title',",Title,Title
en,admin.person.label.username,Username,Username,,"'admin.person.label.username':'Username',",Username,Username
en,admin.person.new,New Person,New Person,,"'admin.person.new':'New Person',",New Person,New Person
en,admin.person.one,Person,Person,,"'admin.person.one':'Person',",Person,Person
en,admin.person.other,People,People,,"'admin.person.other':'People',",People,People
en,admin.person.search,Search People,Search People,,"'admin.person.search':'Search People',",Search People,Search People
en,admin.person.section.contact,Contact,Contact,,"'admin.person.section.contact':'Contact',",Contact,Contact
en,admin.person.section.credentials,Credentials,Credentials,,"'admin.person.section.credentials':'Credentials',",Credentials,Credentials
